iddespesa,alimentacao
506830,107.11
506831,198.0
506832,651.5
506817,50.0
506818,1377.0
506847,12.0
506834,198.88
506910,2532.0
506940,276.0
506938,180.0
506944,12.0
506945,12.0
507010,24.0
506952,289.0
506953,2645.68
507005,68.0
506490,24.0
506450,192.0
506451,300.0
506452,180.0
506453,180.0
506454,168.0
506455,144.0
506456,192.0
506457,180.0
506458,192.0
506459,300.0
506460,192.0
506461,144.0
506462,300.0
506463,180.0
506464,192.0
506465,300.0
506466,300.0
506467,144.0
506468,180.0
506469,300.0
506470,300.0
506471,300.0
506472,180.0
506473,144.0
506474,192.0
506475,276.0
506476,276.0
506477,300.0
506478,144.0
506479,192.0
506480,300.0
506481,24.0
506482,12.0
506483,12.0
506484,24.0
